OBJECTID,Site Name,Address,NPL Status,Site type category,Site type subcategory,Enforcement agreement type,Agreement approval date,Money paid to EPA to do additional cleanup work,Reimbursable Past Costs to EPA,Est. Value of Cleanup Work,Work Party(ies),Type of cleanup work,Link to site profile page,x,y
691,"Northside Sanitary Landfill, Inc","985 S St Rd 421, Zionsville, IN, 46077",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,11/12/1991,,,30000000,"A. E. Staley Mfg.<br>Aero Oil Company<br>Allegheny Ludlum<br>Allen-Bradley<br>Aluminum Company of America and The Stolle Corp.<br>American Can Company<br>American Latex<br>American Magnetics<br>Amoco<br>Amphenol<br>Andersen Co.<br>Anheuser-Busch<br>Arvin Industries, Inc.<br>Ashland Chamical<br>Atlant. Richfield<br>Auto Dealers<br>Baber Industries<br>Batesville Casket Company, Inc.<br>Best Foods<br>Biddle Screw<br>Boehringer Ingelheim Vetmedica Inc.<br>Boise Cascade Corp<br>Borden Inc.<br>Brainerd Co.<br>Bridgestone/Firestone Inc.<br>Brockway Inc.<br>Brookside Corp.<br>Bruning Paint Co.<br>Buckbee Mears Co.<br>Carborundum<br>Carrier Corporation<br>Central Transport<br>Century Mfg<br>Chemlawn<br>Chrysler Motors Corporation and Acustar, Inc.<br>City of Indianapolis<br>City of Lawrence<br>City of Lebanon<br>Cleanware<br>Coca-Cola<br>Coghill, John<br>Commercial Sewer Cleaning Co., Inc.<br>Commercial Towel<br>Connersville Paint<br>Consolidated Print<br>Courier-Jpurnal<br>Cresent Oil Co.<br>Crown Zellerbach<br>D&L Transport<br>Decker Equipment<br>Detrex Chemical<br>Diamond Glass Co.<br>Donnersville Paint<br>Dow Chemical<br>Du-Wel Products<br>Dual Machine Co.<br>E.R. Carpenter<br>Economy Plating Co.<br>Edco Products<br>Egyptian Lacquer<br>Electric Steel<br>Eli Lilly and Company<br>Elliot-Williams<br>Energy Technology<br>Erbrich Products<br>Exmin Corp.<br>Farm Bureau<br>Fed. Bureau of Prisons<br>Feltzer, Scott<br>Ferro Corporation<br>Frito-Lay<br>FMC<br>Ford Motor Corporation<br>Fort Harrison<br>Fred Reece Trucking<br>Freightliner<br>Frost Paint & Oil<br>GE Appliances<br>General Mills<br>General Motors Corporation<br>General Tire<br>George Cram Co.<br>Gould, Inc.<br>Great Dane Trailer<br>Grote Mfg.<br>Grow Group, Inc.<br>Gurney J. Bush<br>H. B. Fuller Co.<br>Hanchar Ind. Waste<br>Hill-Rom<br>Holcomb & Hoke<br>Honeywell, Inc.<br>Hoosier State<br>Howmet Turbine<br>Huffman Enterprise<br>Ind State<br>Ind Univ Perdue<br>Indiana Steel<br>Indianapolis Star<br>Indpls Env'Tl.<br>Indpls. Pavement<br>Indus Wheel Co.<br>Industrial Plating<br>Ingress Plastine<br>Insulators of Ind.<br>International Hary<br>International Pack<br>IVC Industrial<br>J.I. Case Co.<br>Jeffboat<br>Jones Chemicals, Inc.<br>Jones Insullation<br>Josam<br>K & F Industries<br>Kerr Glass Manufacturing Corporation<br>Kerr-McGee Refinors<br>Klor-Kleen<br>Knauf Fiber Glass, GMBH<br>Kodak<br>Kruger Company<br>Kwick-Kleen<br>Lenk Co.<br>Lilly Industrial Coatings<br>Logansport Municipal Utilities<br>Louisville Courier-Journal<br>Louisville Varnish<br>LTV Steel Co.<br>M&R Trucking<br>M. Baker & Son<br>M. G. Corp.<br>Magnetic Periphera<br>Mallory Times<br>Marathon Petroleum<br>Max Haas Co.<br>McDonnell Douglas<br>Means Services<br>Metalworking Lubricants Company and Titan Oil Comp<br>Mid-States Steel<br>Midstate Comm.<br>Midstates Cummins<br>Midwest Construction<br>Midwest Oil<br>Minnesota Rubber<br>Mobil Chemical Co.<br>Morris Machine Co.<br>National Railroad<br>National Starch<br>Nor-Ell, Inc.<br>North American<br>Northland Aluminum<br>Nortronics Co.<br>Owatonna Mfg Co.<br>P.A.G. Seeds<br>Pako Corp.<br>Paper, Calmenson<br>Peerless Pump<br>Pelican Service<br>Penn Dixie<br>Pepsi-Cola<br>Perry Chemical<br>Petco<br>Peter-Revington<br>Pharmco Inc.<br>Phillips Indust.<br>Phillips Petroleum<br>Pike Town Fire<br>Pillsbury Inc.<br>Porter Paint Co.<br>PPG<br>Pratt & Lambert<br>Printing Co., Inc.<br>PT Components<br>Queens Group Indiana, Inc.<br>Radio Material<br>Reclaimed Energy Co., Inc.<br>Reilly Tab<br>Reliance Electric<br>Rock Island<br>Rsr Corporation<br>Sequa Corporation For Sun Chemical Corp.<br>Sheley Paint<br>Shell Oil<br>Smith Systems<br>Specialty Mfg Co.<br>Spill Recovery<br>Square D<br>SRA, Inc.<br>Standard Gravure<br>State of Indiana<br>Stewart Paint Mfg<br>Sullair<br>Summit Finishing<br>Superior Solvents<br>T.L.C. Farmlines<br>Tescom Corp.<br>Texaco Oil<br>Thermoset Plastics<br>Tonka<br>Toyoshima Special<br>Tri Kromatic Paint<br>Tricil Environmental Services Inc.<br>TRW, Inc.<br>U.S. Army<br>U.S. Navy<br>Union Carbide Corporation<br>Union Steel<br>Uniroyal<br>Unisys<br>United Parcel Serv.<br>United Refrig.<br>United States Gypsum/Durabond Company<br>Universal Coating<br>University of Minnesota<br>Veterns Administra<br>Vollbrath Refrig.<br>Wastex Research<br>Webb Wheel<br>Western Electric-Hawthorne Work<br>Westinghouse Electric Corporation<br>Westvaco<br>Whirlpool<br>White Metals<br>Williams<br>Williamson Co.<br>Witco<br>Woodall Indust.","PRP Remedial Action, Government Remedial Design",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501442,-9603903.27595954,4870060.117704317
692,Kentwood Landfill,"4900 Walma Avenue, Kentwood, MI, 49512",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,12/11/1991,,275000,5700000,City of Kentwood<br>Kent County,"PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0502165,-9527902.008690754,5292782.604867784
693,"Acme Solvent Reclaiming, Inc. (Morristown Plant)","East of Lindenwood Rd, Morristown, IL, 61109",Final,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",Consent Decree,1/10/1992,,500000,16000000,"Allied Signal, Inc.<br>Atwood Vacuum Machine Co.<br>Atwood Vacuum Machine Co.<br>Atwood Vacuum Machine Co.<br>AZCO Coatings Inc.<br>Berol Corp.<br>Berol Corp./Products Div<br>Berol USA<br>Chicago Loop Auto Refinishing<br>Chicago Loop Auto Refinishing<br>Crown Beverage Packaging, Inc.<br>Dexter Corp.<br>E. I. du Pont de Nemours and Company<br>E. I. du Pont de Nemours and Company<br>E.I. Dupont De Numours & Co.<br>Fairbanks Morse/Engine Div.<br>Fairbanks Morse/Engine Div.<br>Freeman Chemical Corp.<br>Harley-Davidson Motor Co., Inc.<br>Harley-Davidson Motor Co., Inc.<br>Harley-Davidson Motor Co., Inc.<br>Henkel Corp.<br>Hentzen Chemical Coatings, Inc.<br>Hentzen Chemical Coatings, Inc.<br>Hydrosol, Inc.<br>Hydrosol, Inc.<br>Illinois Bronze Paint Co.<br>Illinois Bronze Paint Company<br>John L Armitage & Co<br>John L. Armitage & Co.<br>John L. Armitage & Co.<br>John L. Armitage & Co.<br>Manpower International Inc.<br>Playskool, Inc.<br>Playskool, Inc.<br>Progress Industries, Inc.<br>Reflector Hardware Co.<br>Reynolds Metals Company<br>Reynolds Metals Company<br>RHC/Spacemaster Corporation<br>Rheem Manufacturing Co.<br>Rheem Manufacturing Co.<br>Rheem Manufacturing Company<br>SCM-Glidden International Co.<br>Seymour of Sycamore, Inc.<br>Seymour of Sycamore, Inc.<br>Sundstrand Corporation<br>Testor Corp./Blackhawk Chemical Co.<br>Testor Corp./Blackhawk Chemical Co.<br>Universal Chemicals & Coatings, Inc.<br>Universal Chemicals & Coatings, Inc.<br>Valspar Corp.<br>Valspar Corp.<br>Valspar Corp.<br>Valspar Corp.<br>Zarco Industries, Inc.","PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0500357,-9912499.717432436,5184631.489180858
694,Master Disposal Service Landfill,"SW 1/4 of SW 1/4 Sec 5 T7N R20E, Brookfield, WI, 53005",Final,Waste Management,Industrial waste landfill,Consent Decree,1/30/1992,,154000,9000000,"Brake Clutch and Drum Service, Inc.","PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505166,-9814297.113558827,5326104.740785313
695,Main Street Well Field,"1120 N Main St, Elkhart, IN, 46514",Final,Other,Ground water plume site with no identifiable source,Unilateral Administrative Order,2/21/1992,,,6400000,"Adams & Westlake, Co., Inc.<br>Adams & Westlake, Ltd.<br>Detrex Corp.<br>Durakool, Inc.<br>Elkhart Products Corp.<br>Elkhart Products Corp.<br>Excel Corp.<br>Joseph S. Beale<br>JSB Corporation (D/B/A Adlake Enterprises)<br>Lake County Trust<br>Nibco, Inc.<br>Sam Winer & Co.<br>Trinity Industries","PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501813,-9571156.421352882,5115607.93018535
696,Fisher-Calo,"PO Box 684 Kingsbury Ind Pk, La Porte, IN, 46350",Final,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",Consent Decree,2/27/1992,,3000000,31000000,"3M<br>AGP<br>Accurate Partitions<br>Acme Consolidated<br>Acme Frame Products Inc.<br>Acme Wiley<br>Actown Electocoil Inc.<br>Adapto, Inc.<br>Adheron Coatings<br>Aero Metals<br>AFCO Industries<br>Aigner/Thermark (Avery Dennison)<br>Aker Plastics Company<br>Allegon Metal<br>Allied Tube & Conduit/Ludlow (TYC)<br>Altek Systems<br>Alumax, Inc.<br>Alumni Tool & Die, Inc.<br>American National Can<br>American Seating<br>American Slide Chart<br>American Waste Haulers<br>Ames Supply<br>Amphenol Cannector Div.<br>Amstore (American Store Equipment)<br>Anderson Company<br>Anderson-Bolling Mfg.<br>Angle Steel<br>Apex Plastic Finishing Co., Inc.<br>Apollo Metals<br>Aquatrol<br>ARCO Industries<br>Armour Dial, Inc.<br>Arnold Engineering<br>Art, Tape & Label<br>Astro-Trek, Inc.<br>Astroblast, Inc.<br>Atchley Ford<br>B-K Chemical Co. (KCI Chemical)<br>BDP Company<br>Bauman Varnish Co.<br>Beard Industries<br>Bell & Howell<br>Benjamin Moore and Technical Coatings<br>Bennett Industries<br>Benton Harbor Malleable Industries<br>Benton Harbor Screw Products<br>Bentz-Mobil Products (CIB, Inc.)<br>Blakeslee Electonics<br>Bob's Paint Shop<br>Bond-Flex Rubber Co., Inc.<br>Borden Inc., Chemical Division, Mysti<br>Bowers Envelope<br>Boyer-Winona Corp.<br>Bradley-Vrooman<br>Brown Co<br>Brulin & Company<br>Brummel Products Inc.<br>CM Products<br>California Pellet Mill<br>Carbo-Graphic Industries<br>Cargill, Incorporated<br>Castle Metal Finishing Co.<br>Caterpillar Tractor Co.<br>Century Plating Co.<br>Chemi-Flex<br>Chicago Finished Metals<br>China Corp.<br>Chris Craft Cruisers<br>Cintas<br>Claude E. Hurley<br>Coated Film (Bee Chem. -Chicago Heig)<br>Coating and Chemicals Company<br>Commercial Finishes Co.<br>Con-De Mfg Co.<br>Conolite<br>Consolidated Electronic Wire & CA<br>Container Corp. of America/Lam (Jefferson Smurfit)<br>Container Technologies<br>Continental Can<br>Contour Saws<br>Cooper Paint Shop<br>Creation, Inc.<br>Creative Plastics<br>Crown Equipment<br>Crown, Cork & Seal<br>Cryogenic Associates<br>Custom Finishing<br>Custom Tube<br>Diamond Shamrock Corporation<br>Dsg Chemical<br>Dana Corporation<br>Davies Imperial Coatings<br>Dayco Industries<br>De Puy<br>Design & Manufacturing<br>Detroit Gasket (Indian Head Industries)<br>Devilbis Industrial Corp.<br>Dexter Corporation<br>Dober Chemical<br>Don & Ron Body Shop<br>Donnelly Mirrors<br>Dover Construction<br>Dreeblan Paint<br>Dresser Industries<br>Dupage County Highway Dept.<br>Dupli-Color/Ekco (American Home Products)<br>Dura-Plating Corporation<br>Dwyer Instruments, Inc.<br>E. C. Styberg Engineering Co., In<br>Eagle-Picher Industries, Inc.<br>Easco Products<br>Eastman Kodak<br>Easy Heat Wirekraft<br>Electric Motors & Specialties<br>Enamelite<br>Enterprise Company<br>Erincraft Mfg.<br>Ex-Cello Corporation<br>Export Packaging<br>F & F Machine Specialty<br>F. J. W. Industries<br>Federal Signal Corporation<br>Federated Paint Manufacturing<br>Field Container<br>Finishes Unlimited<br>Fleet Services-N. American Van Li<br>Fleming-Potter/Webkote<br>Flexicon<br>Flexonics Corp.<br>Ford Motor Company<br>Foremost Fiberglass Inc.<br>Fort Wayne Pool Equipment<br>Four Star Tool, Inc.<br>Fox Collision<br>Fulton Metal Mfg Co. Inc.<br>Gale<br>Gandalf Data, Inc.<br>Gellico<br>General Body Shop<br>General Electric/RCA<br>General Motors<br>General Steel<br>General Tire & Rubber (Gencorp)<br>Gillette Company<br>Gould Inc.<br>Grahm Paint & Varnish, Co., Inc.<br>Graphic Control<br>Gravi-Flo Corp.<br>Greenville Products (White Consolidated)<br>Griffin Wheel<br>Griffith Hope<br>H. B. Fuller Company<br>H. E. Morse Co.<br>Hci Coatings<br>Hamilton Standard Controls<br>Handschy Industries<br>Harbor Plating Co.<br>Harrington Signal<br>Harris Manufacturing<br>Harter Corporation<br>Hastings Aluminum (National Aluminum)<br>Hawley<br>Hershaw Chemical<br>Hexcel Corporation<br>Hi-Ranger, Inc.<br>Hills McCanna Co.<br>Holcomb & Hoke Mfg. Co., Inc.<br>Holland Die Casting<br>Homecrest<br>Hooker (Occidental Chemical)<br>Hoover Universal<br>House of Fara<br>Hurco Manufacturing Co.<br>Hydrite Chemical<br>Hydrosol<br>ITT Harper<br>Ivc Coatings<br>Illinois Bell Telephone Co.<br>Illinois Bronze (I.B. Distributors)<br>Illinois Coil & Spring<br>Illinois Department of Transportation<br>Imagineering Enterprises<br>Imc, Inc.<br>Impert Industries<br>Indiana Decorative Products Inc.<br>Industrial Coating Co.<br>Inmont and Essex<br>Intaglio Cylinder Service<br>International Decal<br>International Multi Food<br>International Packings<br>Ivy Terrace Inc.<br>J & L Industries<br>J.W.I. Inc.<br>Jackel, Inc.<br>James B. Day Company<br>Jet Fabricators<br>Johnson Motors<br>Joy Manufacturing<br>Kaye Contract Packaging Corp.<br>Keil Chemical<br>Kemark Co., Inc. (Superior Sanitar)<br>Kerr Glass<br>Kester<br>Solder<br>Keyes<br>Davis Company<br>Kidde Mfg. Co.<br>Kingsley Furniture Co.<br>Knape Industries<br>Krizman Metal Finishing, Inc.<br>Lacks Industries<br>Lake Chemical Company (La-Co Ind.)<br>Lawter Chemical<br>Lee Cylinder<br>Leer Siegler, Inc.<br>Lehigh Portland Cement Company<br>Lehman Manufacturing<br>Leitner Equipment Company<br>Linberg Heat Treating Co.<br>Lincoln Manufacturing<br>Litho Strip/Sun Chemical (Sequa)<br>Litton Precision Gear<br>Lustour (Curwood)<br>Maas & Waldstein Co.<br>Machine Rite Products Inc.<br>Mackinney Corporation<br>Magnaflux Corporation<br>Magnavox Electronic Systems<br>Magnetol<br>Mallory Timers Co. (Black & Decker)<br>Manitou Corporation<br>Mark Lite Company<br>Martin Marietta Aluminum<br>Martin Varnish<br>Master Air Inc.<br>Mathews Paint<br>Mcgill Manufacturing Company<br>Mclaughlin Golf Balls<br>Mcwhorter<br>McClayton<br>Methode Electronic<br>Metro-Rubber<br>Metro-Sign<br>Michigan City Laboratories<br>Michigan City Supply<br>Midas Plastics<br>Midwest Sintered Products Corp.<br>Midwest Transformer<br>Midwest Zayre Distribution Center<br>Milton Industries Incorporated<br>Milton Roy Company<br>Mitchell Engineering<br>Mobile Wood Products Inc.<br>Moda Graphics Corporation<br>Mohawk Flush Doors<br>Moline Paint<br>Morrel Motors, Inc.<br>Morton International, Inc.<br>Motorola<br>Multigraphics (A.M. International)<br>Myer Cooperage<br>National Glextic, Inc.<br>National Lacquer<br>Nationwide<br>Netcom, Inc.<br>Nova Chrome<br>O'Brien Corporation<br>Oak Industries Inc.<br>Oasis Whirpool Bath<br>Old Mill Toyota<br>Owens Corning<br>PPG Industries<br>Panel Processing<br>Parke-Davis Company<br>Pearl Paint<br>Perfection Paint & Color<br>Phelps Dodge Rod & Wire Co.<br>Phillips/Lasco Industries<br>Planter, Inc.<br>Plastic & Stampings<br>Polyply, Inc.<br>Portage Metal Finishings<br>Potlatch Corp.<br>Potter Paint<br>Pre Finish Metals<br>Premier Coatings<br>Production Rubber<br>Products Filling & Packaging Co.<br>RDT Industries<br>Reliance Universal, Inc.<br>RJR Foods<br>Raffel Manufacturing<br>Rainbow Tool Inc.<br>Ray Envelope<br>Ray Fagan<br>Reichold Chemicals, Inc.<br>Rexnard Inc. Construct. Machinery<br>Reynolds Metals Company<br>Richards Motor Service, Inc.<br>River Valley Chemicals & Coatings<br>Rogers Metal Processing Ltd.<br>Roll Coater, Inc.<br>Rosetta Corporation<br>Rospatch/Jessco<br>Royal Envelope Corp.<br>Rutgers Packaging<br>S & C Electric<br>S-2 Yachts Co.<br>Scm Allied Paper (Scm Office Supplies)<br>Sipi Metals<br>Scholl, Inc.<br>Schultz<br>Searle<br>Set Liquid Waste Systems, Inc.<br>Shell Chemical Company<br>Sherwin-Williams<br>Shield Coatings<br>Signal Products (Amerace Corp.)<br>Signode Corporation<br>Sims Manufacturing Co.<br>Skil Corporation<br>Snowpake<br>Specialty Coatings<br>Spectra Color (Chi. Litho-Plate Gra)<br>Spot Nails<br>Square D Company<br>St. Charles Manufacturing<br>Stanadyne (Moen, Inc.)<br>Standard Grigsby<br>Stellite (Hayes International)<br>Stewart-Warner<br>Sturgis Molded Products<br>Sullivan Varnish<br>Sunstrand<br>Superior Coatings<br>Superior Plastics Company<br>T.D. Shea Manufacturing, Inc.<br>TRW, Inc.<br>Technologlas/Viking Formed<br>Tempe Sanitary Supply<br>Thanhardt-Burger Corp.<br>Theodore Bergman Co.<br>Thiele-Engdahl<br>Thr","PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501504,-9648160.45459473,5087577.651403178
697,Algoma Municipal Landfill,"Sec32 T25N R25E Town of Ahnapee, Algoma, WI, 54201",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,3/25/1992,,72988,1400000,"Champion International Corp.<br>City of Algoma<br>Massey-Ferguson, Inc.<br>Plumbers Woodwork Co.<br>Thomas Tilling, Inc.<br>Wisconsin Label Corp.","PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505095,-9739475.83289245,5558298.947466411
698,Chem Central,"2940 Stafford Ave SW, Wyoming Township, MI, 49548",Final,Other,Product storage/distribution,Unilateral Administrative Order,3/31/1992,,,2100000,Chemcentral Corporation,"PRP Remedial Investigation/Feasibility Study, PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0502743,-9537203.976660933,5298282.946858538
699,Rasmussen's Dump,"9040 Spicer Rd, Brighton, MI, 48116",Final,Waste Management,Industrial waste landfill,Consent Decree,4/30/1992,,1199750,13486260,"Adient PLC <br>Chrysler Corporation<br>Detrex Corp.<br>General Motors Corporation<br>Hoechst Celanese Corp.<br>Hoover Universal, Inc.<br>Kelsey-Hayes Company<br>National Steel Corp.<br>TRW Inc.","PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0502686,-9325155.82010897,5229291.273112746
700,"Thermo-Chem, Inc.","4331 Evanston Avenue, Muskegon, MI, 49442",Final,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",Unilateral Administrative Order,5/6/1992,,,24000000,"Abbot Laboratories<br>Acme Printing Ink<br>American Cyanamid Company<br>BASF Corporation<br>Baxter Travenol Lab<br>Chemetron Corp.<br>E.I. du Pont de Nemours and Company<br>Eagle Ottawa Leather Company<br>Ford Motor Company<br>General Electric Co.<br>General Foods<br>Kelvinator Inc.<br>Mead-Johnson & Co.<br>Miles Laboratoires, Inc.<br>National Seal Corp.<br>Slickcraft Boat<br>Steelcase Inc.<br>Sundstrand Corp.","PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0502486,-9588690.13170875,5344117.731362088
701,Midco I,"7400 W 15th Ave, Gary, IN, 46406",Final,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",Consent Decree,6/23/1992,,2500000,10000000,"ACCO USA, Inc.<br>Accutronics, Inc.<br>Active Service Corp.<br>Akzo Coatings Inc.<br>Alfred M. Tenny<br>American Rivet Company, Inc.<br>Armour Pharmaceutical Company<br>Armstrong Containers, Inc.<br>Artisan Hand Prints<br>Ashland Chemical, Inc.<br>Bretford Manufacturing, Inc.<br>Browning-Ferris Industries of Illinois, Inc.<br>Butler Speciality Company<br>By-Products Management, Inc.<br>C & C Industrial Maintenance<br>C.P. Hall Company<br>Cargill, Incorporated<br>Charles Licht<br>Connor Forest Industries, Inc.<br>Consumers Paint Factory, Inc.<br>Continental White Cap<br>Cooper Industries, Inc.<br>County of Dupage<br>Crown Cork & Seal Company, Inc.<br>Dana Corporation<br>DAP, Inc.<br>Daubert Chemical Company<br>David Licht<br>Deublin Company<br>Dolores Licht<br>Duo-Fast Corporation<br>Dutone Corporation<br>Ecodyne Corporation<br>Ekco Housewares<br>Ethicon, Inc.<br>Extruded Metals, Inc.<br>Felt Products Mfg. Co.<br>Flint Ink Corporation<br>Furnas Electric Company<br>Gearmaster<br>General Instrument Corp.<br>Gilbert & Bennet Manufacturing Company<br>H & S Tin Mill Products Co., Inc.<br>Henry Pratt Company<br>Hydrite Chemical Co.<br>ICI Specialty Inks<br>Illinois Tool Works, Inc.<br>Industrial Techtonics, Inc.<br>J.M. Huber Corporation<br>Knaack Manufacturing Company<br>Knape & Vogt Manufacturing Co.<br>Krueger Ringier, Inc.<br>Laidlaw Waste Systems Inc.<br>Masonite Corporation<br>McWharter Chemical<br>Morton International Inc.<br>Motorola, Inc.<br>National Can Company<br>Navistar International Corporation<br>Naz-Dar Company<br>Penn Central Corporation<br>Pierce & Stevens Corp.<br>PPG Industries, Inc.<br>Pre Finish Metals Inc.<br>Premier Coatings, Inc.<br>Primerica Holdings, Inc.<br>Pyle National<br>R.R. Donnelley & Sons Company<br>Regal Tube Co.<br>Rhc/Spacemaster Corporation<br>Richardson Graphics Company<br>Robert J. Dawson<br>Rust-Oleum Corporation<br>Schmidt Liquidating Corporation<br>Scholle Corporation<br>Schwinn Bicycle Company<br>Sheldahl, Inc.<br>Size Control Company<br>Skil Corporation<br>Sommer & Maca Industries, Inc.<br>Specialty Coatings Company<br>St. Charles Mfg. Co.<br>Standard T. Chemical Co., Inc.<br>Stuart Chemical & Paint<br>Sun Chemical<br>Teepak, Inc.<br>Tricil Environmental Services Inc.<br>United Resin Adhesives, Inc.<br>Universal Tool & Stamping Company, Inc.<br>USX Corporation<br>V&E Corporation<br>Velsicol Chemical Corporation<br>Westvaco Corporation<br>Xerox Corporation<br>Zenith Electronics Corporation","PRP Remedial Design, PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501761,-9732484.968870634,5099685.503470882
702,Midco II,"5900 Industrial Highway, Gary, IN, 46406",Final,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",Consent Decree,6/23/1992,,2500000,13000000,"ACCO USA, Inc.<br>Accutronics, Inc.<br>Active Service Corp.<br>Akzo Coatings Inc.<br>Alfred M. Tenny<br>American Rivet Company, Inc.<br>Armour Pharmaceutical Company<br>Armstrong Containers, Inc.<br>Artisan Hand Prints<br>Ashland Chemical, Inc.<br>Bretford Manufacturing, Inc.<br>Browning-Ferris Industries of Illinois, Inc.<br>Butler Speciality Company<br>By-Products Management, Inc.<br>C & C Industrial Maintenance<br>C.P. Hall Company<br>Cargill, Incorporated<br>Charles Licht<br>Connor Forest Industries, Inc.<br>Consumers Paint Factory, Inc.<br>Continental White Cap<br>Cooper Industries, Inc.<br>County of Dupage<br>Crown Cork & Seal Company, Inc.<br>Dana Corporation<br>DAP, Inc.<br>Daubert Chemical Company<br>David Licht<br>Deublin Company<br>Dolores Licht<br>Duo-Fast Corporation<br>Dutone Corporation<br>Ecodyne Corporation<br>Ekco Housewares<br>Ethicon, Inc.<br>Extruded Metals, Inc.<br>Felt Products Mfg. Co.<br>Flint Ink Corporation<br>Furnas Electric Company<br>Gearmaster<br>General Instrument Corp.<br>Gilbert & Bennet Manufacturing Company<br>H & S Tin Mill Products Co., Inc.<br>Henry Pratt Company<br>Hydrite Chemical Co.<br>ICI Specialty Inks<br>Illinois Tool Works, Inc.<br>Industrial Techtonics, Inc.<br>J.M. Huber Corporation<br>Knaack Manufacturing Company<br>Knape & Vogt Manufacturing Co.<br>Krueger Ringier, Inc.<br>Laidlaw Waste Systems Inc.<br>Masonite Corporation<br>McWharter Chemical<br>Morton International Inc.<br>Motorola, Inc.<br>National Can Company<br>Navistar International Corporation<br>Naz-Dar Company<br>Penn Central Corporation<br>Pierce & Stevens Corp.<br>PPG Industries, Inc.<br>Pre Finish Metals Inc.<br>Premier Coatings, Inc.<br>Primerica Holdings, Inc.<br>Pyle National<br>R.R. Donnelley & Sons Company<br>Regal Tube Co.<br>Rhc/Spacemaster Corporation<br>Richardson Graphics Company<br>Robert J. Dawson<br>Rust-Oleum Corporation<br>Schmidt Liquidating Corporation<br>Scholle Corporation<br>Schwinn Bicycle Company<br>Sheldahl, Inc.<br>Size Control Company<br>Skil Corporation<br>Sommer & Maca Industries, Inc.<br>Specialty Coatings Company<br>St. Charles Mfg. Co.<br>Standard T. Chemical Co., Inc.<br>Stuart Chemical & Paint<br>Sun Chemical<br>Teepak, Inc.<br>Tricil Environmental Services Inc.<br>United Resin Adhesives, Inc.<br>Universal Tool & Stamping Company, Inc.<br>USX Corporation<br>V&E Corporation<br>Velsicol Chemical Corporation<br>Westvaco Corporation<br>Xerox Corporation<br>Zenith Electronics Corporation","PRP Remedial Design, PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501800,-9730282.067467324,5104640.285690238
703,"National Presto Industries, Inc.","3925 N Hastings Way, Eau Claire, WI, 54701",Final,Manufacturing/Processing/Maintenance,Ordnance production,Unilateral Administrative Order,7/2/1992,,,1900000,"National Defense Corporation<br>National Presto Industries, Inc.",PRP Remedial Action,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505009,-10180390.072026448,5599523.91757922
704,Hunts Disposal Landfill,"Co Line Rd & Foley Rd, Caledonia, WI, 53108",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,7/20/1992,,1470000,21000000,,"PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505068,-9782756.850912875,5286890.791758667
